City,foreign_born
Amsterdam,34.00%
Netherlands,21.00%
Berlin,13.23%
Germany,8.26%
Bogota,0.26%
Colombia,0.45%
Brussels,62.00%
Belgium,15.50%
Buenos Aires,13.00%
Argentina,4.50%
Dubai,82.00%
Edinburgh,13.60%
Scotland,7.20%
Turkey,1.27%
Johannesburg,5.70%
South Africa,2.70%
London,35.90%
United Kingdom,13.40%
Los Angeles,35.10%
United States,12.70%
Madrid,20.47%
Spain,13.22%
Melbourne,36.70%
Australia,30.20%
Montreal,33.20%
Canada,21.00%
Moscow,13.00%
Russia,20.00%
Mumbai,1.40%
India,0.52%
New York,36.80%
United States,12.70%
Paris,21.60%
France,10.40%
Rio de Janeiro,1.00%
Brazil,0.30%
San Francisco,35.60%
United States,12.70%
San Paulo,1.00%
Brazil,0.30%
Seoul,4.10%
Korea,3.10%
Shanghai,0.01%
China,0.00%
Singapore,29.23%
Stockholm,30.09%
Sweden,20.75%
Sydney,40.10%
Australia,30.20%
Tapei,2.70%
Taiwan,3.00%
Tokyo,2.42%
Japan,1.29%
Toronto,49.00%
Canada,21.00%
Vienna,32.16%
