City,theatrical_performance
Berlin,"6,900"
Buenos Aires,"5,415"
Edinburgh,"2,066"
Hong Kong,"6,380"
Istanbul,"12,926"
Johannesburg,"5,000"
London,"32,166"
Los Angeles,"9,094"
Madrid,"4,667"
Melbourne,"9,688"
Montreal,"3,804"
Moscow,"16,440"
Mumbai,"8,750"
New York,"30,576"
Paris,"49,931"
Rio de Janeiro,"2,256"
San Francisco,"4,045"
Seoul,"85,735"
Shanghai,"49,750"
Shenzhen,"3,000"
Singapore,"3,930"
Stockholm,"3,000"
Sydney,"17,080"
Taipei,939
Tokyo,"24,575"
Toronto,"9,616"
Vienna,"6,600"
Warsaw,"8,150"
