City,inter_student
Amsterdam,"6,058"
Austin ,"7,217"
Berlin,"21,805"
Brussels,"19,924"
Buenos Aires,"73,416"
Edinburgh,"17,085"
Hong Kong,"26,600"
Istanbul,"14,072"
Johannesburg,"37,067"
London,"67,415"
Los Angeles,"46,337"
Madrid,"17,780"
Melbourne,"81,306"
Montreal,"21,425"
Moscow,"69,926"
Mumbai,"1,500"
New York,"98,906"
Paris,"105,154"
Rio de Janeiro,"2,185"
Rome,"10,611"
San Francisco,"12,192"
Seoul,"23,961"
Shanghai,"43,016"
Shenzhen,"8,500"
Singapore,"80,000"
Stockholm,"7,672"
Sydney,"62,922"
Taipei,"4,594"
Tokyo,"43,188"
Toronto,"76,219"
Vienna,"170,842"
Warsaw,"6,500"
