City,restaurants
Amsterdam,"1,337"
Austin,"2,061"
Berlin,"4,885"
Bogota,"6,158"
Brussels,"4,235"
Buenos Aires,"2,823"
Edinburgh,138
Hong Kong,"12,564"
Istanbul,"1,122"
Johannesburg,"15,000"
London,"24,360"
Los Angeles,"36,571"
Madrid,"6,334"
Melbourne,"4,009"
Montreal,"2,283"
Moscow,"3,159"
Mumbai,"13,205"
New York,"23,520"
Paris,"38,393"
Rio de Janeiro,"6,576"
Rome,"14,495"
San Francisco,"3,973"
San Paulo,"12,500"
Seoul,"81,477"
Shenzhen,"84,257"
Singapore,"2,426"
Stockholm,"2,000"
Sydney,"19,384"
Taipei,"7,061"
Tokyo,"150,510"
Toronto,"7,961"
