City,population
Amsterdam,"2,388,463"
Netherlands,"16,779,575"
Berlin,"3,460,725"
Germany,"81,752,000"
Bogota,"7,674,366"
Colombia,"47,120,770"
Brussels,"1,175,173"
Belgium,"11,209,044"
Buenos Aires,"2,890,151"
Argentina,"40,117,096"
Dubai,"2,327,350"
Edinburgh,"492,680"
Scotland,"5,347,600"
Hong Kong,"7,266,500"
Istanbul,"14,337,018"
Turkey,"77,694,904"
Johannesburg,"11,328,203"
South Africa,"50,586,757"
London,"8,416,535"
United Kingdom,"64,105,654"
Los Angeles,"10,116,705"
United States,"308,745,538"
Madrid,"3,166,130"
Spain,"46,725,164"
Melbourne,"4,440,300"
Australia,"23,490,700"
Montreal,"1,886,481"
Canada,"33,476,688"
Moscow,"12,108,275"
Russia,"143,666,931"
Mumbai,"12,432,830"
India,"1,210,193,422"
New York,"8,175,133"
United States,"308,745,538"
Paris,"12,005,077"
France,"63,920,247"
Rio de Janeiro,"6,320,446"
Brazil,"198,000,000"
Rome,"4,342,046"
Italy,"61,070,224"
San Francisco,"805,235"
United States,"308,747,508"
San Paulo,"11,253,503"
Brazil,"198,000,000"
Seoul,"10,103,233"
Korea,"51,327,916"
Shanghai,"24,256,800"
China,"1,360,720,000"
Shenzhen,"10,778,900"
China,"1,360,720,000"
Singapore,"5,469,724"
Stockholm,"2,163,042"
Sweden,"9,644,864"
Sydney,"4,840,600"
Australia,"23,490,700"
Taipei,"2,702,315"
Taiwan,"23,433,753"
Tokyo,"13,159,388"
Japan,"128,057,352"
Toronto,"2,615,060"
Canada,"33,476,688"
Vienna,"1,766,746"
Austria,"8,572,895"
Warsaw,"1,735,400"
Poland,"38,478,602"
