City,cinema_tick,cinema_tic_percap
Amsterdam,"$62,162,594",$26.00
Berlin,"$80,784,465",$23.00
Bogota,"$114,712,053",$14.95
Buenos Aires,"$53,846,548",$18.63
Hong Kong,"$276,202,260",$38.00
Istanbul,"$73,294,423",$5.00
Johannesburg,"$102,724,956",$9.00
London,"$423,222,863",$50.00
Madrid,"$84,530,598",$27.00
Melbourne,"$198,576,905",$44.70
Montreal,"$43,756,308",$23.19
Moscow,,$93.00
Mumbai,"$81,200,553",$3.46
Paris,"$433,443,474",$36.00
Rio de Janeiro,"$99,274,882",$15.71
San Paulo,"$281,214,848",$25.00
Seoul,"$420,414,943",$45.00
Shanghai,"$562,739,462",$23.20
Shenzhen,"$193,095,000",$17.90
Singapore,"$228,418,086",$41.76
Stockholm,"$61,819,926",$28.00
Sydney,"$190,987,251",$39.45
Taipei,"$237,670,702",$87.95
Tokyo,"$351,024,091",$27.00
Toronto,"$87,700,708",$33.54
Vienna,"$46,390,563",$26.25
