City,green_space_per
Amsterdam,13.00%
Austin,15.00%
Berlin,14.40%
BogotÃ¡,4.40%
Brussels,18.80%
Buenos Aires,8.90%
Dubai,2.00%
Edinburgh,16.00%
Hong Kong,40.00%
Istanbul,2.20%
Johannesburg,24.00%
London,33.00%
Los Angeles,6.70%
Madrid,35.00%
Melbourne,9.00%
MontrÃ©al,14.80%
Moscow,54.00%
Mumbai,2.50%
New York,27.00%
Paris,9.50%
Rio de Janeiro,29.00%
Rome,34.80%
San Francisco,13.70%
Seoul,26.60%
Shanghai,2.80%
Shenzhen,45.00%
Singapore,47.00%
Stockholm,40.00%
Sydney,46.00%
Taipei,3.60%
Tokyo,3.40%
Toronto,12.70%
Vienna,45.50%
Warsaw,17.00%
