,City,area_size,green,pop_in_city_per,art_galleries,visit_artexh,income_percap,bookshop,cinema,edu_level,att_carnival,fes_cel,film_fes,foreign_born,gdp,concer_hall,national_museum,club_disco,cin_admission,Per Capita,inter_tourists,theatrical_performance,bar,dance_performance,inter_student,markets,michelin_rest,music_performance,other_heritage_hist_sites,restaurants,theatres,population,cinema_tick,cinema_tic_percap,world_heritage
0,Amsterdam,"2,580",13.00%,14.2,196,"5,864","$19,271",136,38,42.00%,88%,350,36,34.00%,"$43,491",5,6,35,"6,135,000",2.6,"10,500,000",,"1,516",104,"6,058",95,22,"3,900",14,"1,337",57,"2,388,463","$62,162,594",$26.00,4
1,Netherlands,"41,540",,,,,"$17,492",,,35.00%,,,,21.00%,"$625,550",,,,,,,,,,,,,,,,,"16,779,575",,,
2,Berlin,892,14.40%,4.2,421,"1,653","$14,544",245,94,39.00%,40%,63,33,13.23%,"$80,000",2,18,152,"9,126,793",2.6,"2,871,000","6,900","1,247",111,"21,805",,14,,"8,689","4,885",56,"3,460,725","$80,784,465",$23.00,3
3,Germany,"357,124",,,,,"$18,681",,,28.40%,,,,8.26%,"$3,280,500",,,,,,,,,,,,,,,,,"81,752,000",,,
4,Bogota,345,4.40%,16.3,,,,269,46,20.50%,46%,319,19,0.26%,"$82,175",3,1,,"17,569,846",2.3,"966,748",,,,,39,,,"5,397","6,158",74,"7,674,366","$114,712,053",$14.95,0
5,Colombia,"1,141,750",,,,,,,,11.10%,,,,0.45%,"$369,515",,,,,,,,,,,,,,,,,"47,120,770",,,
6,Brussels,161,18.80%,10.5,313,,,,11,,,247,,62.00%,"$83,414",4,8,34,"3,657,869",3.1,"2,602,094",,"1,743",645,"19,924",,,,"4,231","4,235",61,"1,175,173",,,3
7,Belgium,"30,528",,,,,,,,,,,,15.50%,,,,,,,,,,,,,,,,,,"11,209,044",,,
8,Buenos Aires,200,8.90%,7.2,331,,,734,76,,21%,95,20,13.00%,"$191,700",2,18,140,"11,037,730",3.8,"2,843,658","5,415","3,642",,"73,416",104,,,507,"2,823",287,"2,890,151","$53,846,548",$18.63,1
9,Argentina,"3,761,274",,,,,,,,,,,,4.50%,"$474,865",,,,,,,,,,,,,,,,,"40,117,096",,,
