,City,area_size,green,pop_in_city_per,art_galleries,visit_artexh,income_percap,bookshop,cinema,edu_level,att_carnival,fes_cel,film_fes,foreign_born,gdp,concer_hall,national_museum,club_disco,cin_admission,cinAd_perc,inter_tourists,theatrical_performance,bar,dance_performance,inter_student,markets,michelin_rest,music_performance,other_heritage_hist_sites,restaurants,theaters,population,cinema_tick,cinema_tic_percap,world_heritage,latitude,longitude
0,Amsterdam,"2,580",0.13,14.2,196,"5,864","$19,271",136,38,42.00%,88%,350,36,0.34,"$43,491",5,6,35,"6,135,000",2.6,10500000,,1516,104,6058,95,22,3900,14,1337,57,2388463,"$62,162,594",$26.00,4,52.3702,4.8952
2,Berlin,892,0.14,4.2,421,"1,653","$14,544",245,94,39.00%,40%,63,33,0.13,"$80,000",2,18,152,"9,126,793",2.6,2871000,"6,900",1247,111,21805,,14,,8689,4885,56,3460725,"$80,784,465",$23.00,3,52.52,13.405
4,Bogota,345,0.04,16.3,,,,269,46,20.50%,46%,319,19,0.00,"$82,175",3,1,,"17,569,846",2.3,966748,,,,,39,,,5397,6158,74,7674366,"$114,712,053",$14.95,0,4.711,-74.0721
6,Brussels,161,0.19,10.5,313,,,,11,,,247,,0.62,"$83,414",4,8,34,"3,657,869",3.1,2602094,,1743,645,19924,,,,4231,4235,61,1175173,,,3,50.8503,4.3517
8,Buenos Aires,200,0.09,7.2,331,,,734,76,,21%,95,20,0.13,"$191,700",2,18,140,"11,037,730",3.8,2843658,"5,415",3642,,73416,104,,,507,2823,287,2890151,"$53,846,548",$18.63,1,-34.6037,-58.3816
10,Dubai,"4,357",0.02,24.9,62,,,,,31.80%,,35,2,0.82,"$337,907",,15,,,,13000000,,,,,,,,7,,,2327350,,,0,25.2048,55.2708
11,Edinburgh,263,0.16,9.2,80,926,"$54,590",52,9,56.30%,32%,69,18,0.14,"$26,612",1,2,28,,,1300000,"2,066",451,,17085,11,4,16796,16340,138,,492680,,,2,55.9533,-3.1883
13,Hong Kong,"1,104",0.40,100,95,"3,061","$30,346","1,540",47,29.00%,,55,29,,"$381,186",4,17,110,,,60838836,"6,380",1200,493,26600,101,61,1362,1111,12564,42,7266500,"$276,202,260",$38.00,0,22.3964,114.1095
14,Istanbul,"5,461",0.02,18.5,199,"2,179",$25.00,134,99,17.00%,,150,14,,"$394,000",,22,106,"16,251,695",1.1,11842983,"12,926",304,154,14072,601,,2500,38292,1122,184,14337018,"$73,294,423",$5.00,1,41.0082,28.9784
16,Johannesburg,"18,178",0.24,22.4,76,,"$11,591","1,020",47,32.00%,1%,82,16,0.06,"$175,956",4,9,130,"13,079,824",1.3,3988335,"5,000",,250,37067,37,,7400,281,15000,24,11328203,"$102,724,956",$9.00,1,-26.2041,28.0473
